FIPS,State,County,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
01001,AL,Autauga,4,4,4,4,4
01003,AL,Baldwin,4,4,4,4,4
01005,AL,Barbour,4,4,4,4,4
01007,AL,Bibb,4,4,4,4,4
01009,AL,Blount,4,4,4,4,4
01011,AL,Bullock,4,4,4,4,4
01013,AL,Butler,4,4,4,4,4
01015,AL,Calhoun,4,4,4,4,4
01017,AL,Chambers,4,4,4,4,4
01019,AL,Cherokee,4,4,4,4,4
01021,AL,Chilton,4,4,4,4,4
01023,AL,Choctaw,4,4,4,4,4
01025,AL,Clarke,4,4,4,4,4
01027,AL,Clay,4,4,4,4,4
01029,AL,Cleburne,4,4,4,4,4
01031,AL,Coffee,4,4,4,4,4
01033,AL,Colbert,4,4,4,4,4
01035,AL,Conecuh,4,4,4,4,4
01037,AL,Coosa,4,4,4,4,4
01039,AL,Covington,4,4,4,4,4
01041,AL,Crenshaw,4,4,4,4,4
01043,AL,Cullman,4,4,4,4,4
01045,AL,Dale,4,4,4,4,4
01047,AL,Dallas,4,4,4,4,4
01049,AL,DeKalb,4,4,4,4,4
01051,AL,Elmore,4,4,4,4,4
01053,AL,Escambia,4,4,4,4,4
01055,AL,Etowah,4,4,4,4,4
01057,AL,Fayette,4,4,4,4,4
01059,AL,Franklin,4,4,4,4,4
01061,AL,Geneva,4,4,4,4,4
01063,AL,Greene,4,4,4,4,4
01065,AL,Hale,4,4,4,4,4
01067,AL,Henry,4,4,4,4,4
01069,AL,Houston,4,4,4,4,4
01071,AL,Jackson,4,4,4,4,4
01073,AL,Jefferson,4,4,4,4,4
01075,AL,Lamar,4,4,4,4,4
01077,AL,Lauderdale,4,4,4,4,4
01079,AL,Lawrence,4,4,4,4,4
01081,AL,Lee,4,4,4,4,4
01083,AL,Limestone,4,4,4,4,4
01085,AL,Lowndes,4,4,4,4,4
01087,AL,Macon,4,4,4,4,4
01089,AL,Madison,4,4,4,4,4
01091,AL,Marengo,4,4,4,4,4
01093,AL,Marion,4,4,4,4,4
01095,AL,Marshall,4,4,4,4,4
01097,AL,Mobile,4,4,4,4,4
01099,AL,Monroe,4,4,4,4,4
01101,AL,Montgomery,4,4,4,4,4
01103,AL,Morgan,4,4,4,4,4
01105,AL,Perry,4,4,4,4,4
01107,AL,Pickens,4,4,4,4,4
01109,AL,Pike,4,4,4,4,4
01111,AL,Randolph,4,4,4,4,4
01113,AL,Russell,4,4,4,4,4
01115,AL,St. Clair,4,4,4,4,4
01117,AL,Shelby,4,4,4,4,4
01119,AL,Sumter,4,4,4,4,4
01121,AL,Talladega,4,4,4,4,4
01123,AL,Tallapoosa,4,4,4,4,4
01125,AL,Tuscaloosa,4,4,4,4,4
01127,AL,Walker,4,4,4,4,4
01129,AL,Washington,4,4,4,4,4
01131,AL,Wilcox,4,4,4,4,4
01133,AL,Winston,4,4,4,4,4
02013,AK,Aleutians East,0,0,0,0,0
02016,AK,Aleutians West,0,0,0,0,0
02020,AK,Anchorage,0,0,0,0,0
02050,AK,Bethel,0,0,0,0,0
02060,AK,Bristol Bay,0,0,0,0,0
02068,AK,Denali,0,0,0,0,0
02070,AK,Dillingham,0,0,0,0,0
02090,AK,Fairbanks North Star,0,0,0,0,0
02100,AK,Haines,0,0,0,0,0
02105,AK,Hoonah-Angoon,0,0,0,0,0
02110,AK,Juneau,0,0,0,0,0
02122,AK,Kenai Peninsula,0,0,0,0,0
02130,AK,Ketchikan Gateway,0,0,0,0,0
02150,AK,Kodiak Island,0,0,0,0,0
02164,AK,Lake and Peninsula,0,0,0,0,0
02170,AK,Matanuska-Susitna,0,0,0,0,0
02180,AK,Nome,0,0,0,0,0
02185,AK,North Slope,0,0,0,0,0
02188,AK,Northwest Arctic,0,0,0,0,0
02195,AK,Petersburg,0,0,0,0,0
02198,AK,Prince of Wales-Hyder,0,0,0,0,0
02220,AK,Sitka,0,0,0,0,0
02230,AK,Skagway,0,0,0,0,0
02240,AK,Southeast Fairbanks,0,0,0,0,0
02261,AK,Valdez-Cordova,0,0,0,0,0
02270,AK,Wade Hampton,0,0,0,0,0
02275,AK,Wrangell,0,0,0,0,0
02282,AK,Yakutat,0,0,0,0,0
02290,AK,Yukon-Koyukuk,0,0,0,0,0
04001,AZ,Apache,0,0,0,0,0
04003,AZ,Cochise,0,0,0,0,0
04005,AZ,Coconino,0,0,0,0,0
04007,AZ,Gila,0,0,0,0,0
04009,AZ,Graham,0,0,0,0,0
04011,AZ,Greenlee,0,0,0,0,0
04012,AZ,La Paz,0,0,0,0,0
04013,AZ,Maricopa,0,0,0,0,0
04015,AZ,Mohave,0,0,0,0,0
04017,AZ,Navajo,0,0,0,0,0
04019,AZ,Pima,0,0,0,0,0
04021,AZ,Pinal,0,0,0,0,0
04023,AZ,Santa Cruz,0,0,0,0,0
04025,AZ,Yavapai,0,0,0,0,0
04027,AZ,Yuma,0,0,0,0,0
05001,AR,Arkansas,1.5,1.5,1.5,1.5,1.5
05003,AR,Ashley,1.5,1.5,1.5,1.5,1.5
05005,AR,Baxter,1.5,1.5,1.5,1.5,1.5
05007,AR,Benton,1.5,1.5,1.5,1.5,1.5
05009,AR,Boone,1.5,1.5,1.5,1.5,1.5
05011,AR,Bradley,1.5,1.5,1.5,1.5,1.5
05013,AR,Calhoun,1.5,1.5,1.5,1.5,1.5
05015,AR,Carroll,1.5,1.5,1.5,1.5,1.5
05017,AR,Chicot,1.5,1.5,1.5,1.5,1.5
05019,AR,Clark,1.5,1.5,1.5,1.5,1.5
05021,AR,Clay,1.5,1.5,1.5,1.5,1.5
05023,AR,Cleburne,1.5,1.5,1.5,1.5,1.5
05025,AR,Cleveland,1.5,1.5,1.5,1.5,1.5
05027,AR,Columbia,1.5,1.5,1.5,1.5,1.5
05029,AR,Conway,1.5,1.5,1.5,1.5,1.5
05031,AR,Craighead,1.5,1.5,1.5,1.5,1.5
05033,AR,Crawford,1.5,1.5,1.5,1.5,1.5
05035,AR,Crittenden,1.5,1.5,1.5,1.5,1.5
05037,AR,Cross,1.5,1.5,1.5,1.5,1.5
05039,AR,Dallas,1.5,1.5,1.5,1.5,1.5
05041,AR,Desha,1.5,1.5,1.5,1.5,1.5
05043,AR,Drew,1.5,1.5,1.5,1.5,1.5
05045,AR,Faulkner,1.5,1.5,1.5,1.5,1.5
05047,AR,Franklin,1.5,1.5,1.5,1.5,1.5
05049,AR,Fulton,1.5,1.5,1.5,1.5,1.5
05051,AR,Garland,1.5,1.5,1.5,1.5,1.5
05053,AR,Grant,1.5,1.5,1.5,1.5,1.5
05055,AR,Greene,1.5,1.5,1.5,1.5,1.5
05057,AR,Hempstead,1.5,1.5,1.5,1.5,1.5
05059,AR,Hot Spring,1.5,1.5,1.5,1.5,1.5
05061,AR,Howard,1.5,1.5,1.5,1.5,1.5
05063,AR,Independence,1.5,1.5,1.5,1.5,1.5
05065,AR,Izard,1.5,1.5,1.5,1.5,1.5
05067,AR,Jackson,1.5,1.5,1.5,1.5,1.5
05069,AR,Jefferson,1.5,1.5,1.5,1.5,1.5
05071,AR,Johnson,1.5,1.5,1.5,1.5,1.5
05073,AR,Lafayette,1.5,1.5,1.5,1.5,1.5
05075,AR,Lawrence,1.5,1.5,1.5,1.5,1.5
05077,AR,Lee,1.5,1.5,1.5,1.5,1.5
05079,AR,Lincoln,1.5,1.5,1.5,1.5,1.5
05081,AR,Little River,1.5,1.5,1.5,1.5,1.5
05083,AR,Logan,1.5,1.5,1.5,1.5,1.5
05085,AR,Lonoke,1.5,1.5,1.5,1.5,1.5
05087,AR,Madison,1.5,1.5,1.5,1.5,1.5
05089,AR,Marion,1.5,1.5,1.5,1.5,1.5
05091,AR,Miller,1.5,1.5,1.5,1.5,1.5
05093,AR,Mississippi,1.5,1.5,1.5,1.5,1.5
05095,AR,Monroe,1.5,1.5,1.5,1.5,1.5
05097,AR,Montgomery,1.5,1.5,1.5,1.5,1.5
05099,AR,Nevada,1.5,1.5,1.5,1.5,1.5
05101,AR,Newton,1.5,1.5,1.5,1.5,1.5
05103,AR,Ouachita,1.5,1.5,1.5,1.5,1.5
05105,AR,Perry,1.5,1.5,1.5,1.5,1.5
05107,AR,Phillips,1.5,1.5,1.5,1.5,1.5
05109,AR,Pike,1.5,1.5,1.5,1.5,1.5
05111,AR,Poinsett,1.5,1.5,1.5,1.5,1.5
05113,AR,Polk,1.5,1.5,1.5,1.5,1.5
05115,AR,Pope,1.5,1.5,1.5,1.5,1.5
05117,AR,Prairie,1.5,1.5,1.5,1.5,1.5
05119,AR,Pulaski,1.5,1.5,1.5,1.5,1.5
05121,AR,Randolph,1.5,1.5,1.5,1.5,1.5
05123,AR,St. Francis,1.5,1.5,1.5,1.5,1.5
05125,AR,Saline,1.5,1.5,1.5,1.5,1.5
05127,AR,Scott,1.5,1.5,1.5,1.5,1.5
05129,AR,Searcy,1.5,1.5,1.5,1.5,1.5
05131,AR,Sebastian,1.5,1.5,1.5,1.5,1.5
05133,AR,Sevier,1.5,1.5,1.5,1.5,1.5
05135,AR,Sharp,1.5,1.5,1.5,1.5,1.5
05137,AR,Stone,1.5,1.5,1.5,1.5,1.5
05139,AR,Union,1.5,1.5,1.5,1.5,1.5
05141,AR,Van Buren,1.5,1.5,1.5,1.5,1.5
05143,AR,Washington,1.5,1.5,1.5,1.5,1.5
05145,AR,White,1.5,1.5,1.5,1.5,1.5
05147,AR,Woodruff,1.5,1.5,1.5,1.5,1.5
05149,AR,Yell,1.5,1.5,1.5,1.5,1.5
06001,CA,Alameda,6.5,6.5,0,6.5,0
06003,CA,Alpine,6.5,6.5,0,6.5,0
06005,CA,Amador,6.5,6.5,0,6.5,0
06007,CA,Butte,6.5,6.5,0,6.5,0
06009,CA,Calaveras,6.5,6.5,0,6.5,0
06011,CA,Colusa,6.5,6.5,0,6.5,0
06013,CA,Contra Costa,6.5,6.5,0,6.5,0
06015,CA,Del Norte,6.5,6.5,0,6.5,0
06017,CA,El Dorado,6.5,6.5,0,6.5,0
06019,CA,Fresno,6.5,6.5,0,6.5,0
06021,CA,Glenn,6.5,6.5,0,6.5,0
06023,CA,Humboldt,6.5,6.5,0,6.5,0
06025,CA,Imperial,6.5,6.5,0,6.5,0
06027,CA,Inyo,6.5,6.5,0,6.5,0
06029,CA,Kern,6.5,6.5,0,6.5,0
06031,CA,Kings,6.5,6.5,0,6.5,0
06033,CA,Lake,6.5,6.5,0,6.5,0
06035,CA,Lassen,6.5,6.5,0,6.5,0
06037,CA,Los Angeles,6.5,6.5,0,6.5,0
06039,CA,Madera,6.5,6.5,0,6.5,0
06041,CA,Marin,6.5,6.5,0,6.5,0
06043,CA,Mariposa,6.5,6.5,0,6.5,0
06045,CA,Mendocino,6.5,6.5,0,6.5,0
06047,CA,Merced,6.5,6.5,0,6.5,0
06049,CA,Modoc,6.5,6.5,0,6.5,0
06051,CA,Mono,6.5,6.5,0,6.5,0
06053,CA,Monterey,6.5,6.5,0,6.5,0
06055,CA,Napa,6.5,6.5,0,6.5,0
06057,CA,Nevada,6.5,6.5,0,6.5,0
06059,CA,Orange,6.5,6.5,0,6.5,0
06061,CA,Placer,6.5,6.5,0,6.5,0
06063,CA,Plumas,6.5,6.5,0,6.5,0
06065,CA,Riverside,6.5,6.5,0,6.5,0
06067,CA,Sacramento,6.5,6.5,0,6.5,0
06069,CA,San Benito,6.5,6.5,0,6.5,0
06071,CA,San Bernardino,6.5,6.5,0,6.5,0
06073,CA,San Diego,6.5,6.5,0,6.5,0
06075,CA,San Francisco,6.5,6.5,0,6.5,0
06077,CA,San Joaquin,6.5,6.5,0,6.5,0
06079,CA,San Luis Obispo,6.5,6.5,0,6.5,0
06081,CA,San Mateo,6.5,6.5,0,6.5,0
06083,CA,Santa Barbara,6.5,6.5,0,6.5,0
06085,CA,Santa Clara,6.5,6.5,0,6.5,0
06087,CA,Santa Cruz,6.5,6.5,0,6.5,0
06089,CA,Shasta,6.5,6.5,0,6.5,0
06091,CA,Sierra,6.5,6.5,0,6.5,0
06093,CA,Siskiyou,6.5,6.5,0,6.5,0
06095,CA,Solano,6.5,6.5,0,6.5,0
06097,CA,Sonoma,6.5,6.5,0,6.5,0
06099,CA,Stanislaus,6.5,6.5,0,6.5,0
06101,CA,Sutter,6.5,6.5,0,6.5,0
06103,CA,Tehama,6.5,6.5,0,6.5,0
06105,CA,Trinity,6.5,6.5,0,6.5,0
06107,CA,Tulare,6.5,6.5,0,6.5,0
06109,CA,Tuolumne,6.5,6.5,0,6.5,0
06111,CA,Ventura,6.5,6.5,0,6.5,0
06113,CA,Yolo,6.5,6.5,0,6.5,0
06115,CA,Yuba,6.5,6.5,0,6.5,0
08001,CO,Adams,2.91,2.91,0,0,0
08003,CO,Alamosa,2.91,2.91,0,0,0
08005,CO,Arapahoe,2.91,2.91,0,0,0
08007,CO,Archuleta,2.91,2.91,0,0,0
08009,CO,Baca,2.91,2.91,0,0,0
08011,CO,Bent,2.91,2.91,0,0,0
08013,CO,Boulder,2.91,2.91,0,0,0
08014,CO,Broomfield,2.91,2.91,0,0,0
08015,CO,Chaffee,2.91,2.91,0,0,0
08017,CO,Cheyenne,2.91,2.91,0,0,0
08019,CO,Clear Creek,2.91,2.91,0,0,0
08021,CO,Conejos,2.91,2.91,0,0,0
08023,CO,Costilla,2.91,2.91,0,0,0
08025,CO,Crowley,2.91,2.91,0,0,0
08027,CO,Custer,2.91,2.91,0,0,0
08029,CO,Delta,2.91,2.91,0,0,0
08031,CO,Denver,2.91,2.91,0,0,0
08033,CO,Dolores,2.91,2.91,0,0,0
08035,CO,Douglas,2.91,2.91,0,0,0
08037,CO,Eagle,2.91,2.91,0,0,0
08039,CO,Elbert,2.91,2.91,0,0,0
08041,CO,El Paso,2.91,2.91,0,0,0
08043,CO,Fremont,2.91,2.91,0,0,0
08045,CO,Garfield,2.91,2.91,0,0,0
08047,CO,Gilpin,2.91,2.91,0,0,0
08049,CO,Grand,2.91,2.91,0,0,0
08051,CO,Gunnison,2.91,2.91,0,0,0
08053,CO,Hinsdale,2.91,2.91,0,0,0
08055,CO,Huerfano,2.91,2.91,0,0,0
08057,CO,Jackson,2.91,2.91,0,0,0
08059,CO,Jefferson,2.91,2.91,0,0,0
08061,CO,Kiowa,2.91,2.91,0,0,0
08063,CO,Kit Carson,2.91,2.91,0,0,0
08065,CO,Lake,2.91,2.91,0,0,0
08067,CO,La Plata,2.91,2.91,0,0,0
08069,CO,Larimer,2.91,2.91,0,0,0
08071,CO,Las Animas,2.91,2.91,0,0,0
08073,CO,Lincoln,2.91,2.91,0,0,0
08075,CO,Logan,2.91,2.91,0,0,0
08077,CO,Mesa,2.91,2.91,0,0,0
08079,CO,Mineral,2.91,2.91,0,0,0
08081,CO,Moffat,2.91,2.91,0,0,0
08083,CO,Montezuma,2.91,2.91,0,0,0
08085,CO,Montrose,2.91,2.91,0,0,0
08087,CO,Morgan,2.91,2.91,0,0,0
08089,CO,Otero,2.91,2.91,0,0,0
08091,CO,Ouray,2.91,2.91,0,0,0
08093,CO,Park,2.91,2.91,0,0,0
08095,CO,Phillips,2.91,2.91,0,0,0
08097,CO,Pitkin,2.91,2.91,0,0,0
08099,CO,Prowers,2.91,2.91,0,0,0
08101,CO,Pueblo,2.91,2.91,0,0,0
08103,CO,Rio Blanco,2.91,2.91,0,0,0
08105,CO,Rio Grande,2.91,2.91,0,0,0
08107,CO,Routt,2.91,2.91,0,0,0
08109,CO,Saguache,2.91,2.91,0,0,0
08111,CO,San Juan,2.91,2.91,0,0,0
08113,CO,San Miguel,2.91,2.91,0,0,0
08115,CO,Sedgwick,2.91,2.91,0,0,0
08117,CO,Summit,2.91,2.91,0,0,0
08119,CO,Teller,2.91,2.91,0,0,0
08121,CO,Washington,2.91,2.91,0,0,0
08123,CO,Weld,2.91,2.91,0,0,0
08125,CO,Yuma,2.91,2.91,0,0,0
09001,CT,Fairfield,6.35,6.35,0,0,0
09003,CT,Hartford,6.35,6.35,0,0,0
09005,CT,Litchfield,6.35,6.35,0,0,0
09007,CT,Middlesex,6.35,6.35,0,0,0
09009,CT,New Haven,6.35,6.35,0,0,0
09011,CT,New London,6.35,6.35,0,0,0
09013,CT,Tolland,6.35,6.35,0,0,0
09015,CT,Windham,6.35,6.35,0,0,0
10001,DE,Kent,0,0,0,0,0
10003,DE,New Castle,0,0,0,0,0
10005,DE,Sussex,0,0,0,0,0
11001,DC,District of Columbia,5.75,5.75,0,5.75,0
12001,FL,Alachua,6,6,0,6,0
12003,FL,Baker,6,6,0,6,0
12005,FL,Bay,6,6,0,6,0
12007,FL,Bradford,6,6,0,6,0
12009,FL,Brevard,6,6,0,6,0
12011,FL,Broward,6,6,0,6,0
12013,FL,Calhoun,6,6,0,6,0
12015,FL,Charlotte,6,6,0,6,0
12017,FL,Citrus,6,6,0,6,0
12019,FL,Clay,6,6,0,6,0
12021,FL,Collier,6,6,0,6,0
12023,FL,Columbia,6,6,0,6,0
12027,FL,DeSoto,6,6,0,6,0
12029,FL,Dixie,6,6,0,6,0
12031,FL,Duval,6,6,0,6,0
12033,FL,Escambia,6,6,0,6,0
12035,FL,Flagler,6,6,0,6,0
12037,FL,Franklin,6,6,0,6,0
12039,FL,Gadsden,6,6,0,6,0
12041,FL,Gilchrist,6,6,0,6,0
12043,FL,Glades,6,6,0,6,0
12045,FL,Gulf,6,6,0,6,0
12047,FL,Hamilton,6,6,0,6,0
12049,FL,Hardee,6,6,0,6,0
12051,FL,Hendry,6,6,0,6,0
12053,FL,Hernando,6,6,0,6,0
12055,FL,Highlands,6,6,0,6,0
12057,FL,Hillsborough,6,6,0,6,0
12059,FL,Holmes,6,6,0,6,0
12061,FL,Indian River,6,6,0,6,0
12063,FL,Jackson,6,6,0,6,0
12065,FL,Jefferson,6,6,0,6,0
12067,FL,Lafayette,6,6,0,6,0
12069,FL,Lake,6,6,0,6,0
12071,FL,Lee,6,6,0,6,0
12073,FL,Leon,6,6,0,6,0
12075,FL,Levy,6,6,0,6,0
12077,FL,Liberty,6,6,0,6,0
12079,FL,Madison,6,6,0,6,0
12081,FL,Manatee,6,6,0,6,0
12083,FL,Marion,6,6,0,6,0
12085,FL,Martin,6,6,0,6,0
12086,FL,Miami-Dade,6,6,0,6,0
12087,FL,Monroe,6,6,0,6,0
12089,FL,Nassau,6,6,0,6,0
12091,FL,Okaloosa,6,6,0,6,0
12093,FL,Okeechobee,6,6,0,6,0
12095,FL,Orange,6,6,0,6,0
12097,FL,Osceola,6,6,0,6,0
12099,FL,Palm Beach,6,6,0,6,0
12101,FL,Pasco,6,6,0,6,0
12103,FL,Pinellas,6,6,0,6,0
12105,FL,Polk,6,6,0,6,0
12107,FL,Putnam,6,6,0,6,0
12109,FL,St. Johns,6,6,0,6,0
12111,FL,St. Lucie,6,6,0,6,0
12113,FL,Santa Rosa,6,6,0,6,0
12115,FL,Sarasota,6,6,0,6,0
12117,FL,Seminole,6,6,0,6,0
12119,FL,Sumter,6,6,0,6,0
12121,FL,Suwannee,6,6,0,6,0
12123,FL,Taylor,6,6,0,6,0
12125,FL,Union,6,6,0,6,0
12127,FL,Volusia,6,6,0,6,0
12129,FL,Wakulla,6,6,0,6,0
12131,FL,Walton,6,6,0,6,0
12133,FL,Washington,6,6,0,6,0
13001,GA,Appling,0,4,0,4,0
13003,GA,Atkinson,0,4,0,4,0
13005,GA,Bacon,0,4,0,4,0
13007,GA,Baker,0,4,0,4,0
13009,GA,Baldwin,0,4,0,4,0
13011,GA,Banks,0,4,0,4,0
13013,GA,Barrow,0,4,0,4,0
13015,GA,Bartow,0,4,0,4,0
13017,GA,Ben Hill,0,4,0,4,0
13019,GA,Berrien,0,4,0,4,0
13021,GA,Bibb,0,4,0,4,0
13023,GA,Bleckley,0,4,0,4,0
13025,GA,Brantley,0,4,0,4,0
13027,GA,Brooks,0,4,0,4,0
13029,GA,Bryan,0,4,0,4,0
13031,GA,Bulloch,0,4,0,4,0
13033,GA,Burke,0,4,0,4,0
13035,GA,Butts,0,4,0,4,0
13037,GA,Calhoun,0,4,0,4,0
13039,GA,Camden,0,4,0,4,0
13043,GA,Candler,0,4,0,4,0
13045,GA,Carroll,0,4,0,4,0
13047,GA,Catoosa,0,4,0,4,0
13049,GA,Charlton,0,4,0,4,0
13051,GA,Chatham,0,4,0,4,0
13053,GA,Chattahoochee,0,4,0,4,0
13055,GA,Chattooga,0,4,0,4,0
13057,GA,Cherokee,0,4,0,4,0
13059,GA,Clarke,0,4,0,4,0
13061,GA,Clay,0,4,0,4,0
13063,GA,Clayton,0,4,0,4,0
13065,GA,Clinch,0,4,0,4,0
13067,GA,Cobb,0,4,0,4,0
13069,GA,Coffee,0,4,0,4,0
13071,GA,Colquitt,0,4,0,4,0
13073,GA,Columbia,0,4,0,4,0
13075,GA,Cook,0,4,0,4,0
13077,GA,Coweta,0,4,0,4,0
13079,GA,Crawford,0,4,0,4,0
13081,GA,Crisp,0,4,0,4,0
13083,GA,Dade,0,4,0,4,0
13085,GA,Dawson,0,4,0,4,0
13087,GA,Decatur,0,4,0,4,0
13089,GA,DeKalb,0,4,0,4,0
13091,GA,Dodge,0,4,0,4,0
13093,GA,Dooly,0,4,0,4,0
13095,GA,Dougherty,0,4,0,4,0
13097,GA,Douglas,0,4,0,4,0
13099,GA,Early,0,4,0,4,0
13101,GA,Echols,0,4,0,4,0
13103,GA,Effingham,0,4,0,4,0
13105,GA,Elbert,0,4,0,4,0
13107,GA,Emanuel,0,4,0,4,0
13109,GA,Evans,0,4,0,4,0
13111,GA,Fannin,0,4,0,4,0
13113,GA,Fayette,0,4,0,4,0
13115,GA,Floyd,0,4,0,4,0
13117,GA,Forsyth,0,4,0,4,0
13119,GA,Franklin,0,4,0,4,0
13121,GA,Fulton,0,4,0,4,0
13123,GA,Gilmer,0,4,0,4,0
13125,GA,Glascock,0,4,0,4,0
13127,GA,Glynn,0,4,0,4,0
13129,GA,Gordon,0,4,0,4,0
13131,GA,Grady,0,4,0,4,0
13133,GA,Greene,0,4,0,4,0
13135,GA,Gwinnett,0,4,0,4,0
13137,GA,Habersham,0,4,0,4,0
13139,GA,Hall,0,4,0,4,0
13141,GA,Hancock,0,4,0,4,0
13143,GA,Haralson,0,4,0,4,0
13145,GA,Harris,0,4,0,4,0
13147,GA,Hart,0,4,0,4,0
13149,GA,Heard,0,4,0,4,0
13151,GA,Henry,0,4,0,4,0
13153,GA,Houston,0,4,0,4,0
13155,GA,Irwin,0,4,0,4,0
13157,GA,Jackson,0,4,0,4,0
13159,GA,Jasper,0,4,0,4,0
13161,GA,Jeff Davis,0,4,0,4,0
13163,GA,Jefferson,0,4,0,4,0
13165,GA,Jenkins,0,4,0,4,0
13167,GA,Johnson,0,4,0,4,0
13169,GA,Jones,0,4,0,4,0
13171,GA,Lamar,0,4,0,4,0
13173,GA,Lanier,0,4,0,4,0
13175,GA,Laurens,0,4,0,4,0
13177,GA,Lee,0,4,0,4,0
13179,GA,Liberty,0,4,0,4,0
13181,GA,Lincoln,0,4,0,4,0
13183,GA,Long,0,4,0,4,0
13185,GA,Lowndes,0,4,0,4,0
13187,GA,Lumpkin,0,4,0,4,0
13189,GA,McDuffie,0,4,0,4,0
13191,GA,McIntosh,0,4,0,4,0
13193,GA,Macon,0,4,0,4,0
13195,GA,Madison,0,4,0,4,0
13197,GA,Marion,0,4,0,4,0
13199,GA,Meriwether,0,4,0,4,0
13201,GA,Miller,0,4,0,4,0
13205,GA,Mitchell,0,4,0,4,0
13207,GA,Monroe,0,4,0,4,0
13209,GA,Montgomery,0,4,0,4,0
13211,GA,Morgan,0,4,0,4,0
13213,GA,Murray,0,4,0,4,0
13215,GA,Muscogee,0,4,0,4,0
13217,GA,Newton,0,4,0,4,0
13219,GA,Oconee,0,4,0,4,0
13221,GA,Oglethorpe,0,4,0,4,0
13223,GA,Paulding,0,4,0,4,0
13225,GA,Peach,0,4,0,4,0
13227,GA,Pickens,0,4,0,4,0
13229,GA,Pierce,0,4,0,4,0
13231,GA,Pike,0,4,0,4,0
13233,GA,Polk,0,4,0,4,0
13235,GA,Pulaski,0,4,0,4,0
13237,GA,Putnam,0,4,0,4,0
13239,GA,Quitman,0,4,0,4,0
13241,GA,Rabun,0,4,0,4,0
13243,GA,Randolph,0,4,0,4,0
13245,GA,Richmond,0,4,0,4,0
13247,GA,Rockdale,0,4,0,4,0
13249,GA,Schley,0,4,0,4,0
13251,GA,Screven,0,4,0,4,0
13253,GA,Seminole,0,4,0,4,0
13255,GA,Spalding,0,4,0,4,0
