FIPS,State,County,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_14_17,VLFOODSEC_12_14,VLFOODSEC_15_17,CH_VLFOODSEC_14_17
01001,AL,Autauga,16.8,16.3,-0.5,7.2,7.1,-0.1
01003,AL,Baldwin,16.8,16.3,-0.5,7.2,7.1,-0.1
01005,AL,Barbour,16.8,16.3,-0.5,7.2,7.1,-0.1
01007,AL,Bibb,16.8,16.3,-0.5,7.2,7.1,-0.1
01009,AL,Blount,16.8,16.3,-0.5,7.2,7.1,-0.1
01011,AL,Bullock,16.8,16.3,-0.5,7.2,7.1,-0.1
01013,AL,Butler,16.8,16.3,-0.5,7.2,7.1,-0.1
01015,AL,Calhoun,16.8,16.3,-0.5,7.2,7.1,-0.1
01017,AL,Chambers,16.8,16.3,-0.5,7.2,7.1,-0.1
01019,AL,Cherokee,16.8,16.3,-0.5,7.2,7.1,-0.1
01021,AL,Chilton,16.8,16.3,-0.5,7.2,7.1,-0.1
01023,AL,Choctaw,16.8,16.3,-0.5,7.2,7.1,-0.1
01025,AL,Clarke,16.8,16.3,-0.5,7.2,7.1,-0.1
01027,AL,Clay,16.8,16.3,-0.5,7.2,7.1,-0.1
01029,AL,Cleburne,16.8,16.3,-0.5,7.2,7.1,-0.1
01031,AL,Coffee,16.8,16.3,-0.5,7.2,7.1,-0.1
01033,AL,Colbert,16.8,16.3,-0.5,7.2,7.1,-0.1
01035,AL,Conecuh,16.8,16.3,-0.5,7.2,7.1,-0.1
01037,AL,Coosa,16.8,16.3,-0.5,7.2,7.1,-0.1
01039,AL,Covington,16.8,16.3,-0.5,7.2,7.1,-0.1
01041,AL,Crenshaw,16.8,16.3,-0.5,7.2,7.1,-0.1
01043,AL,Cullman,16.8,16.3,-0.5,7.2,7.1,-0.1
01045,AL,Dale,16.8,16.3,-0.5,7.2,7.1,-0.1
01047,AL,Dallas,16.8,16.3,-0.5,7.2,7.1,-0.1
01049,AL,DeKalb,16.8,16.3,-0.5,7.2,7.1,-0.1
01051,AL,Elmore,16.8,16.3,-0.5,7.2,7.1,-0.1
01053,AL,Escambia,16.8,16.3,-0.5,7.2,7.1,-0.1
01055,AL,Etowah,16.8,16.3,-0.5,7.2,7.1,-0.1
01057,AL,Fayette,16.8,16.3,-0.5,7.2,7.1,-0.1
01059,AL,Franklin,16.8,16.3,-0.5,7.2,7.1,-0.1
01061,AL,Geneva,16.8,16.3,-0.5,7.2,7.1,-0.1
01063,AL,Greene,16.8,16.3,-0.5,7.2,7.1,-0.1
01065,AL,Hale,16.8,16.3,-0.5,7.2,7.1,-0.1
01067,AL,Henry,16.8,16.3,-0.5,7.2,7.1,-0.1
01069,AL,Houston,16.8,16.3,-0.5,7.2,7.1,-0.1
01071,AL,Jackson,16.8,16.3,-0.5,7.2,7.1,-0.1
01073,AL,Jefferson,16.8,16.3,-0.5,7.2,7.1,-0.1
01075,AL,Lamar,16.8,16.3,-0.5,7.2,7.1,-0.1
01077,AL,Lauderdale,16.8,16.3,-0.5,7.2,7.1,-0.1
01079,AL,Lawrence,16.8,16.3,-0.5,7.2,7.1,-0.1
01081,AL,Lee,16.8,16.3,-0.5,7.2,7.1,-0.1
01083,AL,Limestone,16.8,16.3,-0.5,7.2,7.1,-0.1
01085,AL,Lowndes,16.8,16.3,-0.5,7.2,7.1,-0.1
01087,AL,Macon,16.8,16.3,-0.5,7.2,7.1,-0.1
01089,AL,Madison,16.8,16.3,-0.5,7.2,7.1,-0.1
01091,AL,Marengo,16.8,16.3,-0.5,7.2,7.1,-0.1
01093,AL,Marion,16.8,16.3,-0.5,7.2,7.1,-0.1
01095,AL,Marshall,16.8,16.3,-0.5,7.2,7.1,-0.1
01097,AL,Mobile,16.8,16.3,-0.5,7.2,7.1,-0.1
